ials-gpu030 slots=1
1

WELCOME TO TEUKOLSKY CODE!

 tr_c[N / 2] = 9.975 
 ttheta[M / 2] = 1 
GDD turns on...
	done.
110.857010 -0.0152609 
111.201286 -0.0152162 
111.545563 -0.0151718 
111.889839 -0.0151277 
112.234116 -0.0150838 
112.578392 -0.0150401 
112.922668 -0.0149967 
113.266945 -0.0149534 
113.611221 -0.0149104 
113.955498 -0.0148677 
114.299774 -0.0148251 
114.644051 -0.0147827 
114.988327 -0.0147406 
115.332603 -0.0146986 
115.676880 -0.0146568 
116.021156 -0.0146153 
116.365433 -0.0145739 
116.709709 -0.0145327 
117.053986 -0.0144917 
117.398262 -0.0144509 
117.742538 -0.0144103 
118.086815 -0.0143698 
118.431091 -0.0143296 
118.775368 -0.0142895 
119.119644 -0.0142496 
119.463921 -0.0142099 
119.808197 -0.0141704 
120.152473 -0.014131 
120.496750 -0.0140918 
120.841026 -0.0140528 
121.185303 -0.014014 
121.529579 -0.0139754 
121.873856 -0.0139369 
122.218132 -0.0138986 
122.562408 -0.0138605 
122.906685 -0.0138225 
123.250961 -0.0137848 
123.595238 -0.0137472 
123.939514 -0.0137098 
124.283791 -0.0136725 
124.628067 -0.0136355 
124.972343 -0.0135986 
125.316620 -0.0135619 
125.660896 -0.0135253 
126.005173 -0.013489 
126.349449 -0.0134528 
126.693726 -0.0134168 
127.038002 -0.0133809 
127.382278 -0.0133453 
127.726555 -0.0133098 
128.070831 -0.0132745 
128.415108 -0.0132393 
128.759384 -0.0132044 
129.103661 -0.0131696 
129.447937 -0.013135 
129.792213 -0.0131005 
130.136490 -0.0130663 
130.480766 -0.0130322 
130.825043 -0.0129983 
131.169319 -0.0129645 
131.513596 -0.0129309 
131.857872 -0.0128975 
132.202148 -0.0128643 
132.546425 -0.0128312 
132.890701 -0.0127983 
133.234978 -0.0127656 
133.579254 -0.012733 
133.923531 -0.0127007 
134.267807 -0.0126684 
134.612083 -0.0126364 
134.956360 -0.0126045 
135.300636 -0.0125727 
135.644913 -0.0125412 
135.989189 -0.0125098 
136.333466 -0.0124785 
136.677742 -0.0124475 
137.022018 -0.0124165 
137.366295 -0.0123858 
137.710571 -0.0123552 
138.054848 -0.0123247 
138.399124 -0.0122944 
138.743401 -0.0122643 
139.087677 -0.0122343 
139.431953 -0.0122045 
139.776230 -0.0121748 
140.120506 -0.0121453 
140.464783 -0.0121159 
140.809059 -0.0120867 
141.153336 -0.0120576 
141.497612 -0.0120286 
141.841888 -0.0119998 
142.186165 -0.0119712 
142.530441 -0.0119427 
142.874718 -0.0119143 
143.218994 -0.0118861 
143.563271 -0.011858 
143.907547 -0.0118301 
144.251823 -0.0118023 
144.596100 -0.0117746 
144.940376 -0.011747 
145.284653 -0.0117196 
145.628929 -0.0116924 
145.973206 -0.0116652 
146.317482 -0.0116382 
146.661758 -0.0116113 
147.006035 -0.0115846 
147.350311 -0.011558 
147.694588 -0.0115315 
148.038864 -0.0115051 
148.383141 -0.0114789 
148.727417 -0.0114527 
